origin,destination,generated_passengers,boarded_passengers,completed_journeys,on_time_passengers,fraction_boarding_within_wait_limit,wait_to_boarding_min_mean,wait_to_boarding_min_p95,wait_to_boarding_min_max,extra_after_boarding_min_mean,extra_after_boarding_min_p95,extra_after_boarding_min_max,journey_duration_min_mean,journey_duration_min_p95,journey_duration_min_max
BW,LYBE,44,44,44,39,0.8863636363636364,13.495113228417276,18.80653745096603,38.73624384407558,0.24030725206418235,2.1224558599088295,3.1643036855031825,38.27740582700108,45.239344310665686,62.104798196961866
DOR,LYBE,16,16,16,12,0.75,17.805654493785386,35.83380551006358,67.57820482567986,0.9186312230039277,3.5246375024690675,5.616597045061644,43.45829550919842,62.698387679088775,94.94657105969672
EXPO,LYBE,7,7,7,6,0.8571428571428571,31.591474592848765,96.29822550495888,131.14032214994137,0.0,0.0,0.0,51.50402593368843,116.25902285517282,150.6001356831571
JUG,LYBE,25,25,25,17,0.68,15.118280505212235,22.309005420928287,23.098681564096964,0.9301466072928439,4.644629449382774,4.830985846579521,41.29888410916771,49.25498247328583,53.82407128187697
LYBE,BW,43,43,43,31,0.7209302325581395,14.211660984929404,21.748254484023626,22.477129096472222,0.1086992218932816,0.06477231758944972,2.4241646482715926,29.36336034093119,35.76242497965639,41.29105946313891
LYBE,DOR,23,23,23,19,0.8260869565217391,13.458520126319714,18.069356780438923,25.129797446050603,0.3129407920803372,1.7454417803274296,1.8612242317954952,29.703638398110233,34.12867707412684,42.82102524451281
LYBE,EXPO,11,11,11,9,0.8181818181818182,15.420060691063444,19.92406077541515,20.862920550657872,0.49007388915616146,1.632988626815374,1.6817144184586748,26.033447274158995,32.428089368897176,34.49322335249659
LYBE,JUG,24,24,24,21,0.875,13.11461513164833,17.797230668983616,18.60510083408881,0.6632189907002056,3.655240843094892,3.836480228298266,29.4412059890152,34.31861270976155,35.4177191650883
LYBE,LYBV,23,23,23,15,0.6521739130434783,14.65978067910618,21.065112575755204,23.8992791388527,1.9651051673832758,4.9041933818579615,6.1541933818579615,31.679457095764807,41.91930653505734,43.67760898737736
LYBV,LYBE,21,21,21,18,0.8571428571428571,13.253018797608705,27.193465674950616,31.048294333788725,0.48623773692206235,5.105496237681654,5.105496237681654,39.212943036985735,50.9109292794726,54.832595307275675
