vertiport,peak_queue,mean_queue,queue_nonempty_min,waiting_passenger_min
LYBE,10,1.0496684548914172,693.498374203177,1742.1937716380178
EXPO,1,0.13323662616878446,221.14032214994137,221.14032214994137
BW,3,0.3577543295086639,410.7535528331252,593.7849820503601
JUG,3,0.22771838581997816,316.0400594954395,377.9570126303059
DOR,2,0.17164597091401315,266.9260559415384,284.8904719005662
LYBV,3,0.16768329436048976,242.84886865544794,278.3133947497828
