aircraft_id,activity,minutes,fraction_of_observed_time,is_overlay
EVTOL_001,boarding,170.25,0.10257530324955967,False
EVTOL_001,charging_overlay,886.4884399996129,0.5341076097514794,True
EVTOL_001,cleaning,70.0,0.04217486770907006,False
EVTOL_001,cruise,311.61349439999975,0.1877465414668719,False
EVTOL_001,departure_finalization,73.0,0.043982362039458774,False
EVTOL_001,disembarking,117.9,0.07103452718427657,False
EVTOL_001,idle,773.2971064214931,0.46591004518761636,False
EVTOL_001,landing,73.0,0.043982362039458774,False
EVTOL_001,takeoff,48.666666666666664,0.029321574692972516,False
EVTOL_001,waiting_for_departure,22.02897603755306,0.013272416430715353,False
EVTOL_002,boarding,169.74999999999994,0.10227405419449485,False
EVTOL_002,charging_overlay,930.7164316155237,0.5607548911148923,True
EVTOL_002,cleaning,70.0,0.04217486770907006,False
EVTOL_002,cruise,304.78080900000015,0.18362986142626223,False
EVTOL_002,departure_finalization,71.0,0.04277736581919963,False
EVTOL_002,disembarking,116.7,0.07031152945212107,False
EVTOL_002,idle,779.4225958427841,0.4696006409875628,False
EVTOL_002,landing,71.0,0.04277736581919963,False
EVTOL_002,takeoff,47.333333333333336,0.02851824387946642,False
EVTOL_002,waiting_for_departure,29.76950534959518,0.017936070712623285,False
EVTOL_003,boarding,145.99999999999994,0.0879647240789175,False
EVTOL_003,charging_overlay,939.8205218347696,0.566240088266437,True
EVTOL_003,cleaning,50.0,0.030124905506478613,False
EVTOL_003,cruise,251.38738979999974,0.15146042726490594,False
EVTOL_003,departure_finalization,59.0,0.035547388497644765,False
EVTOL_003,disembarking,99.6,0.06000881176890539,False
EVTOL_003,idle,939.0591442308304,0.5657813596989687,False
EVTOL_003,landing,59.0,0.035547388497644765,False
EVTOL_003,takeoff,39.3333333333333,0.023698258998429825,False
EVTOL_003,waiting_for_departure,16.376376161549373,0.009866735688104476,False
EVTOL_004,boarding,122.24999999999994,0.07365539396334017,False
EVTOL_004,charging_overlay,815.5099592004663,0.4913432092101255,True
EVTOL_004,cleaning,50.0,0.030124905506478613,False
EVTOL_004,cruise,225.39227099999982,0.13579841731531228,False
EVTOL_004,departure_finalization,53.0,0.031932399836867326,False
EVTOL_004,disembarking,82.5,0.04970609408568971,False
EVTOL_004,idle,1015.6961082317321,0.61195498567558,False
EVTOL_004,landing,53.0,0.031932399836867326,False
EVTOL_004,takeoff,35.333333333333336,0.021288266557911554,False
EVTOL_004,waiting_for_cleaning_crew,2.002241048138967,0.0012063464475275815,False
EVTOL_004,waiting_for_departure,20.58228991250856,0.012400790774425368,False
