start_s,end_s,passenger_id,group_id,aircraft_id,origin,destination,stage,scope,causes,constraint_locations,aircraft_activity,duration_min,overdue_min,extra_after_boarding_min,start_local,end_local
-10476.269339413662,-9576.269339413662,SYN2-192-D:P0001,G:BW:LYBE:SYN2-192-D:P0001,EVTOL_004,BW,LYBE,before_boarding,selected_plan,group_formation,group_formation@BW,idle,15.0,0.0,0.0,2026-07-30T21:05:23.730661+02:00,2026-07-30T21:20:23.730661+02:00
-9381.269339413662,-9321.269339413662,SYN2-192-D:P0001,G:BW:LYBE:SYN2-192-D:P0001,EVTOL_004,BW,LYBE,departure_preparation,committed_flight,departure_preparation,departure_preparation@BW,departure_finalization,1.0,0.0,0.0,2026-07-30T21:23:38.730661+02:00,2026-07-30T21:24:38.730661+02:00
-8994.300230493682,-8934.300230493682,SYN2-343-D:P0001,G:BW:LYBE:SYN2-343-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,departure_preparation|group_formation,departure_preparation@LYBE|group_formation@BW,departure_finalization,1.0,0.0,0.0,2026-07-30T21:30:05.699770+02:00,2026-07-30T21:31:05.699770+02:00
-8934.300230493682,-8894.300230493682,SYN2-343-D:P0001,G:BW:LYBE:SYN2-343-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,takeoff,0.6666666666666666,0.0,0.0,2026-07-30T21:31:05.699770+02:00,2026-07-30T21:31:45.699770+02:00
-8894.300230493682,-8669.46440849368,SYN2-343-D:P0001,G:BW:LYBE:SYN2-343-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,cruise,3.747263700000015,0.0,0.0,2026-07-30T21:31:45.699770+02:00,2026-07-30T21:35:30.535592+02:00
-8669.46440849368,-8609.46440849368,SYN2-343-D:P0001,G:BW:LYBE:SYN2-343-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,landing,1.0,0.0,0.0,2026-07-30T21:35:30.535592+02:00,2026-07-30T21:36:30.535592+02:00
-8609.46440849368,-8094.300230493682,SYN2-343-D:P0001,G:BW:LYBE:SYN2-343-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation,group_formation@BW,idle,8.586069633333318,0.0,0.0,2026-07-30T21:36:30.535592+02:00,2026-07-30T21:45:05.699770+02:00
-7899.300230493682,-7839.300230493682,SYN2-343-D:P0001,G:BW:LYBE:SYN2-343-D:P0001,EVTOL_001,BW,LYBE,departure_preparation,committed_flight,departure_preparation,departure_preparation@BW,departure_finalization,1.0,0.0,0.0,2026-07-30T21:48:20.699770+02:00,2026-07-30T21:49:20.699770+02:00
-7867.877857624137,-7807.877857624137,SYN2-193-D:P0001,G:LYBV:LYBE:SYN2-193-D:P0001,EVTOL_002,LYBV,LYBE,before_boarding,selected_plan,departure_preparation|group_formation,departure_preparation@LYBE|group_formation@LYBV,departure_finalization,1.0,0.0,0.0,2026-07-30T21:48:52.122142+02:00,2026-07-30T21:49:52.122142+02:00
-7807.877857624137,-7767.877857624137,SYN2-193-D:P0001,G:LYBV:LYBE:SYN2-193-D:P0001,EVTOL_002,LYBV,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@LYBV|repositioning_flight@LYBV,takeoff,0.6666666666666666,0.0,0.0,2026-07-30T21:49:52.122142+02:00,2026-07-30T21:50:32.122142+02:00
-7767.877857624137,-7431.429669624136,SYN2-193-D:P0001,G:LYBV:LYBE:SYN2-193-D:P0001,EVTOL_002,LYBV,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@LYBV|repositioning_flight@LYBV,cruise,5.607469800000005,0.0,0.0,2026-07-30T21:50:32.122142+02:00,2026-07-30T21:56:08.570330+02:00
-7431.429669624136,-7371.429669624136,SYN2-193-D:P0001,G:LYBV:LYBE:SYN2-193-D:P0001,EVTOL_002,LYBV,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@LYBV|repositioning_flight@LYBV,landing,1.0,0.0,0.0,2026-07-30T21:56:08.570330+02:00,2026-07-30T21:57:08.570330+02:00
-7371.429669624136,-6967.877857624137,SYN2-193-D:P0001,G:LYBV:LYBE:SYN2-193-D:P0001,EVTOL_002,LYBV,LYBE,before_boarding,selected_plan,group_formation,group_formation@LYBV,idle,6.725863533333328,0.0,0.0,2026-07-30T21:57:08.570330+02:00,2026-07-30T22:03:52.122142+02:00
-6847.079570779751,-6787.079570779751,SYN2-190-D:P0001,G:BW:LYBE:SYN2-190-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,departure_preparation|group_formation,departure_preparation@LYBE|group_formation@BW,departure_finalization,1.0,0.0,0.0,2026-07-30T22:05:52.920429+02:00,2026-07-30T22:06:52.920429+02:00
-6796.814578951901,-6736.814578951901,SYN2-197-D:P0003,G:EXPO:LYBE:SYN2-197-D:P0003,EVTOL_003,EXPO,LYBE,before_boarding,selected_plan,departure_preparation|group_formation,departure_preparation@LYBE|group_formation@EXPO,departure_finalization,1.0,0.0,0.0,2026-07-30T22:06:43.185421+02:00,2026-07-30T22:07:43.185421+02:00
-6787.079570779751,-6747.079570779751,SYN2-190-D:P0001,G:BW:LYBE:SYN2-190-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,takeoff,0.6666666666666666,0.0,0.0,2026-07-30T22:06:52.920429+02:00,2026-07-30T22:07:32.920429+02:00
-6772.877857624137,-6712.877857624137,SYN2-193-D:P0001,G:LYBV:LYBE:SYN2-193-D:P0001,EVTOL_002,LYBV,LYBE,departure_preparation,committed_flight,departure_preparation,departure_preparation@LYBV,departure_finalization,1.0,0.0,0.0,2026-07-30T22:07:07.122142+02:00,2026-07-30T22:08:07.122142+02:00
-6747.079570779751,-6522.243748779751,SYN2-190-D:P0001,G:BW:LYBE:SYN2-190-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,cruise,3.7472637,0.0,0.0,2026-07-30T22:07:32.920429+02:00,2026-07-30T22:11:17.756251+02:00
-6736.814578951901,-6696.814578951901,SYN2-197-D:P0003,G:EXPO:LYBE:SYN2-197-D:P0003,EVTOL_003,EXPO,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@EXPO|repositioning_flight@EXPO,takeoff,0.6666666666666666,0.0,0.0,2026-07-30T22:07:43.185421+02:00,2026-07-30T22:08:23.185421+02:00
-6696.814578951901,-6596.052180951901,SYN2-197-D:P0003,G:EXPO:LYBE:SYN2-197-D:P0003,EVTOL_003,EXPO,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@EXPO|repositioning_flight@EXPO,cruise,1.6793732999999975,0.0,0.0,2026-07-30T22:08:23.185421+02:00,2026-07-30T22:10:03.947819+02:00
-6623.157832970343,-6522.243748779751,SYN2-342-D:P0002,G:BW:LYBE:SYN2-190-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,cruise,1.6819014031765467,0.0,0.0,2026-07-30T22:09:36.842167+02:00,2026-07-30T22:11:17.756251+02:00
-6596.052180951901,-6536.052180951901,SYN2-197-D:P0003,G:EXPO:LYBE:SYN2-197-D:P0003,EVTOL_003,EXPO,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@EXPO|repositioning_flight@EXPO,landing,1.0,0.0,0.0,2026-07-30T22:10:03.947819+02:00,2026-07-30T22:11:03.947819+02:00
-6536.052180951901,-5896.814578951901,SYN2-197-D:P0003,G:EXPO:LYBE:SYN2-197-D:P0003,EVTOL_003,EXPO,LYBE,before_boarding,selected_plan,group_formation,group_formation@EXPO,idle,10.653960033333336,0.0,0.0,2026-07-30T22:11:03.947819+02:00,2026-07-30T22:21:43.185421+02:00
-6522.243748779751,-6462.243748779751,SYN2-190-D:P0001,G:BW:LYBE:SYN2-190-D:P0001,EVTOL_001,BW,LYBE,before_boarding,selected_plan,group_formation|repositioning_flight,group_formation@BW|repositioning_flight@BW,landing,1.0,0.0,0.0,2026-07-30T22:11:17.756251+02:00,2026-07-30T22:12:17.756251+02:00
