start_s,end_s,aircraft_id,activity,charging,location,flight_id,operation
-10476.269339413662,-8994.300230493682,EVTOL_001,idle,False,LYBE,,
-10476.269339413662,-7867.877857624137,EVTOL_002,idle,False,LYBE,,
-10476.269339413662,-6796.814578951901,EVTOL_003,idle,False,LYBE,,
-10476.269339413662,-9576.269339413662,EVTOL_004,idle,False,BW,,
-9576.269339413662,-9381.269339413662,EVTOL_004,boarding,False,BW,F000001,passenger
-9381.269339413662,-9321.269339413662,EVTOL_004,departure_finalization,False,BW,F000001,passenger
-9321.269339413662,-9281.269339413662,EVTOL_004,takeoff,False,,F000001,passenger
-9281.269339413662,-9056.433517413661,EVTOL_004,cruise,False,,F000001,passenger
-9056.433517413661,-8996.433517413661,EVTOL_004,landing,False,,F000001,passenger
-8996.433517413661,-8936.433517413661,EVTOL_004,disembarking,False,LYBE,F000001,passenger
-8994.300230493682,-8934.300230493682,EVTOL_001,departure_finalization,False,LYBE,F000002,repositioning
-8936.433517413661,-8870.433517413661,EVTOL_004,disembarking,True,LYBE,F000001,passenger
-8934.300230493682,-8894.300230493682,EVTOL_001,takeoff,False,,F000002,repositioning
-8894.300230493682,-8669.46440849368,EVTOL_001,cruise,False,,F000002,repositioning
-8870.433517413661,-5642.319736715014,EVTOL_004,idle,True,LYBE,,
-8669.46440849368,-8609.46440849368,EVTOL_001,landing,False,,F000002,repositioning
-8609.46440849368,-8549.46440849368,EVTOL_001,idle,False,BW,,
-8549.46440849368,-8094.300230493682,EVTOL_001,idle,True,BW,,
-8094.300230493682,-7899.300230493682,EVTOL_001,boarding,True,BW,F000003,passenger
-7899.300230493682,-7839.300230493682,EVTOL_001,departure_finalization,False,BW,F000003,passenger
-7867.877857624137,-7807.877857624137,EVTOL_002,departure_finalization,False,LYBE,F000004,repositioning
-7839.300230493682,-7799.300230493682,EVTOL_001,takeoff,False,,F000003,passenger
-7807.877857624137,-7767.877857624137,EVTOL_002,takeoff,False,,F000004,repositioning
-7799.300230493682,-7574.464408493682,EVTOL_001,cruise,False,,F000003,passenger
-7767.877857624137,-7431.429669624136,EVTOL_002,cruise,False,,F000004,repositioning
-7574.464408493682,-7514.464408493682,EVTOL_001,landing,False,,F000003,passenger
-7514.464408493682,-7454.464408493682,EVTOL_001,disembarking,False,LYBE,F000003,passenger
-7454.464408493682,-7388.464408493682,EVTOL_001,disembarking,True,LYBE,F000003,passenger
