snapshot_id,time_s,group_id,passenger_ids,origin,destination,aircraft_id,available_at_s,available_location,forecast_energy_kwh,status,reason,boarding_start_s,takeoff_s,repositioning,energy_ready_s,resource_constraints,constraint_vertiport,selected
1,-10476.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_001,-10476.269339413662,LYBE,142.0,feasible,,-9576.269339413662,-9321.269339413662,True,-10476.269339413662,,,False
1,-10476.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_002,-10476.269339413662,LYBE,142.0,feasible,,-9576.269339413662,-9321.269339413662,True,-10476.269339413662,,,False
1,-10476.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_003,-10476.269339413662,LYBE,142.0,feasible,,-9576.269339413662,-9321.269339413662,True,-10476.269339413662,,,False
1,-10476.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_004,-10476.269339413662,BW,142.0,feasible,,-9576.269339413662,-9321.269339413662,False,-10476.269339413662,,,True
2,-9576.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_001,-9576.269339413662,LYBE,142.0,feasible,,-9191.433517413661,-8936.433517413661,True,-9576.269339413662,,,False
2,-9576.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_002,-9576.269339413662,LYBE,142.0,feasible,,-9191.433517413661,-8936.433517413661,True,-9576.269339413662,,,False
2,-9576.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_003,-9576.269339413662,LYBE,142.0,feasible,,-9191.433517413661,-8936.433517413661,True,-9576.269339413662,,,False
2,-9576.269339413662,G:BW:LYBE:SYN2-192-D:P0001,SYN2-192-D:P0001,BW,LYBE,EVTOL_004,-9576.269339413662,BW,142.0,feasible,,-9576.269339413662,-9321.269339413662,False,-9576.269339413662,,,True
3,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8994.300230493682,LYBE,142.0,feasible,,-8094.300230493682,-7839.300230493682,True,-8994.300230493682,,,True
3,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8994.300230493682,LYBE,142.0,feasible,,-8094.300230493682,-7839.300230493682,True,-8994.300230493682,,,False
3,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_003,-8994.300230493682,LYBE,142.0,feasible,,-8094.300230493682,-7839.300230493682,True,-8994.300230493682,,,False
3,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_004,-8870.433517413661,LYBE,112.01972745369969,feasible,,-8094.300230493682,-7839.300230493682,True,-8870.433517413661,,,False
4,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8609.46440849368,BW,110.90133285277778,feasible,,-8094.300230493682,-7839.300230493682,False,-8609.46440849368,,,True
4,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8994.300230493682,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
4,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_003,-8994.300230493682,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
4,-8994.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_004,-8870.433517413661,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
5,-8936.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8609.46440849368,BW,110.90133285277778,feasible,,-8094.300230493682,-7839.300230493682,False,-8609.46440849368,,,True
5,-8936.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8936.433517413661,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
5,-8936.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_003,-8936.433517413661,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
5,-8936.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_004,-8870.433517413661,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
6,-8934.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8609.46440849368,BW,110.90133285277778,feasible,,-8094.300230493682,-7839.300230493682,False,-8609.46440849368,,,True
6,-8934.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8934.300230493682,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
6,-8934.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_003,-8934.300230493682,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
6,-8934.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_004,-8870.433517413661,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
7,-8894.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8609.46440849368,BW,110.90133285277778,feasible,,-8094.300230493682,-7839.300230493682,False,-8609.46440849368,,,True
7,-8894.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8894.300230493682,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
7,-8894.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_003,-8894.300230493682,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
7,-8894.300230493682,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_004,-8870.433517413661,LYBE,112.01972745369969,excluded,pinned_aircraft_policy,,,False,,,,False
8,-8870.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8609.46440849368,BW,110.90133285277778,feasible,,-8094.300230493682,-7839.300230493682,False,-8609.46440849368,,,True
8,-8870.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8870.433517413661,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
8,-8870.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_003,-8870.433517413661,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
8,-8870.433517413661,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_004,-8870.433517413661,LYBE,112.01972745369967,excluded,pinned_aircraft_policy,,,False,,,,False
9,-8669.46440849368,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_001,-8609.46440849368,BW,110.90133285277778,feasible,,-8094.300230493682,-7839.300230493682,False,-8609.46440849368,,,True
9,-8669.46440849368,G:BW:LYBE:SYN2-343-D:P0001,SYN2-343-D:P0001,BW,LYBE,EVTOL_002,-8669.46440849368,LYBE,142.0,excluded,pinned_aircraft_policy,,,False,,,,False
