id,airline_flight_id,origin,destination,request_time_s,latest_desired_takeoff_s,latest_terminal_arrival_s,terminal_access_duration_s,status,group_id,flight_id,boarding_start_s,takeoff_start_s,landing_end_s,disembarking_end_s,terminal_arrival_s,journey_end_s,boarding_end_s,waiting_time_min,within_wait_limit,wait_exceedance_min,request_to_takeoff_min,extra_after_boarding_min,journey_duration_min,terminal_target_lateness_min,wait_constraints,request_time_local,boarding_start_local,boarding_end_local,takeoff_start_local,landing_end_local,journey_end_local,terminal_arrival_local
SYN2-192-D:P0001,SYN2-192-D,BW,LYBE,-10476.269339413662,-9096.269339413662,-7835.830503761948,611.6030136517129,completed,G:BW:LYBE:SYN2-192-D:P0001,F000001,-9576.269339413662,-9321.269339413662,-8996.433517413661,-8870.433517413661,-8258.830503761948,-8258.830503761948,-9381.269339413662,15.0,True,0.0,19.25,0.0,36.95731392752857,0.0,group_formation,2026-07-30T21:05:23.730661+02:00,2026-07-30T21:20:23.730661+02:00,2026-07-30T21:23:38.730661+02:00,2026-07-30T21:24:38.730661+02:00,2026-07-30T21:30:03.566483+02:00,2026-07-30T21:42:21.169496+02:00,2026-07-30T21:42:21.169496+02:00
SYN2-343-D:P0001,SYN2-343-D,BW,LYBE,-8994.300230493682,-7614.300230493681,-6316.3624095866035,649.101998907077,completed,G:BW:LYBE:SYN2-343-D:P0001,F000003,-8094.300230493682,-7839.300230493682,-7514.464408493682,-7388.464408493682,-6739.362409586604,-6739.362409586604,-7899.300230493682,15.0,True,0.0,19.25,0.0,37.58229701511796,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T21:30:05.699770+02:00,2026-07-30T21:45:05.699770+02:00,2026-07-30T21:48:20.699770+02:00,2026-07-30T21:49:20.699770+02:00,2026-07-30T21:54:45.535592+02:00,2026-07-30T22:07:40.637590+02:00,2026-07-30T22:07:40.637590+02:00
SYN2-193-D:P0001,SYN2-193-D,LYBV,LYBE,-7867.877857624137,-6487.877857624137,-5142.933637448337,584.4960321757992,completed,G:LYBV:LYBE:SYN2-193-D:P0001,F000005,-6967.877857624137,-6712.877857624137,-6276.429669624136,-6150.429669624136,-5565.933637448337,-5565.933637448337,-6772.877857624137,15.0,True,0.0,19.25,0.0,38.36573700292999,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T21:48:52.122142+02:00,2026-07-30T22:03:52.122142+02:00,2026-07-30T22:07:07.122142+02:00,2026-07-30T22:08:07.122142+02:00,2026-07-30T22:15:23.570330+02:00,2026-07-30T22:27:14.066363+02:00,2026-07-30T22:27:14.066363+02:00
SYN2-190-D:P0001,SYN2-190-D,BW,LYBE,-6847.079570779751,-5467.079570779751,-4239.177515258344,579.0662335214065,completed,G:BW:LYBE:SYN2-190-D:P0001,F000008,-5947.079570779751,-5542.079570779751,-5217.243748779751,-4959.243748779751,-4380.177515258344,-4380.177515258344,-5602.079570779751,15.0,True,0.0,21.75,0.0,41.11503425869011,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T22:05:52.920429+02:00,2026-07-30T22:20:52.920429+02:00,2026-07-30T22:26:37.920429+02:00,2026-07-30T22:27:37.920429+02:00,2026-07-30T22:33:02.756251+02:00,2026-07-30T22:46:59.822485+02:00,2026-07-30T22:46:59.822485+02:00
SYN2-197-D:P0003,SYN2-197-D,EXPO,LYBE,-6796.814578951901,-5416.814578951901,-4306.254536859049,585.7976440928527,completed,G:EXPO:LYBE:SYN2-197-D:P0003,F000009,-5896.814578951901,-5641.814578951901,-5441.052180951901,-5315.052180951901,-4729.254536859049,-4729.254536859049,-5701.814578951901,15.0,True,0.0,19.25,0.0,34.45933403488087,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T22:06:43.185421+02:00,2026-07-30T22:21:43.185421+02:00,2026-07-30T22:24:58.185421+02:00,2026-07-30T22:25:58.185421+02:00,2026-07-30T22:29:18.947819+02:00,2026-07-30T22:41:10.745463+02:00,2026-07-30T22:41:10.745463+02:00
SYN2-342-D:P0002,SYN2-342-D,BW,LYBE,-6623.157832970343,-5243.157832970343,-3974.138546510805,620.183464459538,completed,G:BW:LYBE:SYN2-190-D:P0001,F000008,-5947.079570779751,-5542.079570779751,-5217.243748779751,-4959.243748779751,-4339.060284320212,-4339.060284320212,-5602.079570779751,11.26797103650988,True,0.0,18.01797103650988,0.0,38.06829247750218,0.0,group_formation|repositioning_flight,2026-07-30T22:09:36.842167+02:00,2026-07-30T22:20:52.920429+02:00,2026-07-30T22:26:37.920429+02:00,2026-07-30T22:27:37.920429+02:00,2026-07-30T22:33:02.756251+02:00,2026-07-30T22:47:40.939716+02:00,2026-07-30T22:47:40.939716+02:00
SYN2-342-D:P0001,SYN2-342-D,BW,LYBE,-6273.75933252657,-4893.75933252657,-3685.1408337322428,559.782676794327,completed,G:BW:LYBE:SYN2-190-D:P0001,F000008,-5947.079570779751,-5542.079570779751,-5217.243748779751,-4959.243748779751,-4399.461071985424,-4399.461071985424,-5602.079570779751,5.44466269578032,True,0.0,12.19466269578032,0.0,31.238304342352436,0.0,group_formation,2026-07-30T22:15:26.240667+02:00,2026-07-30T22:20:52.920429+02:00,2026-07-30T22:26:37.920429+02:00,2026-07-30T22:27:37.920429+02:00,2026-07-30T22:33:02.756251+02:00,2026-07-30T22:46:40.538928+02:00,2026-07-30T22:46:40.538928+02:00
SYN2-197-D:P0002,SYN2-197-D,BW,LYBE,-5697.356146532356,-4317.356146532356,-3003.8036608952225,664.7166636371337,completed,G:BW:LYBE:SYN2-197-D:P0002,F000011,-4797.356146532356,-4467.356146532356,-4142.520324532356,-3950.5203245323564,-3285.8036608952225,-3285.8036608952225,-4527.356146532356,15.0,True,0.0,20.5,0.0,40.19254142728557,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T22:25:02.643853+02:00,2026-07-30T22:40:02.643853+02:00,2026-07-30T22:44:32.643853+02:00,2026-07-30T22:45:32.643853+02:00,2026-07-30T22:50:57.479675+02:00,2026-07-30T23:05:14.196339+02:00,2026-07-30T23:05:14.196339+02:00
SYN2-197-D:P0001,SYN2-197-D,BW,LYBE,-5312.762971047229,-3932.7629710472293,-2633.944197604893,649.9829514423363,completed,G:BW:LYBE:SYN2-197-D:P0002,F000011,-4797.356146532356,-4467.356146532356,-4142.520324532356,-3950.5203245323564,-3300.53737309002,-3300.53737309002,-4527.356146532356,8.590113741914546,True,0.0,14.090113741914546,0.0,33.537093299286816,0.0,group_formation|repositioning_flight,2026-07-30T22:31:27.237029+02:00,2026-07-30T22:40:02.643853+02:00,2026-07-30T22:44:32.643853+02:00,2026-07-30T22:45:32.643853+02:00,2026-07-30T22:50:57.479675+02:00,2026-07-30T23:04:59.462627+02:00,2026-07-30T23:04:59.462627+02:00
SYN2-194-D:P0001,SYN2-194-D,EXPO,LYBE,-4755.330940561123,-3375.3309405611226,-2254.040149284644,596.5283932764786,completed,G:EXPO:LYBE:SYN2-194-D:P0001,F000014,-3855.3309405611226,-3600.3309405611226,-3399.5685425611227,-3273.5685425611227,-2677.040149284644,-2677.040149284644,-3660.3309405611226,15.0,True,0.0,19.25,0.0,34.638179854607976,0.0,departure_preparation|group_formation|repositioning_flight,2026-07-30T22:40:44.669059+02:00,2026-07-30T22:55:44.669059+02:00,2026-07-30T22:58:59.669059+02:00,2026-07-30T22:59:59.669059+02:00,2026-07-30T23:03:20.431457+02:00,2026-07-30T23:15:22.959851+02:00,2026-07-30T23:15:22.959851+02:00
