start_s,end_s,vertiport,waiting_passengers
-10476.269339413662,6095.428099285272,LYBE,0
-10476.269339413662,-6796.814578951901,EXPO,0
-10476.269339413662,-9576.269339413662,BW,1
-10476.269339413662,-4566.181744557622,JUG,0
-10476.269339413662,8089.2097747251555,DOR,0
-10476.269339413662,-7867.877857624137,LYBV,0
-9576.269339413662,-8994.300230493682,BW,0
-8994.300230493682,-8094.300230493682,BW,1
-8094.300230493682,-6847.079570779751,BW,0
-7867.877857624137,-6967.877857624137,LYBV,1
-6967.877857624137,7589.9329442891485,LYBV,0
-6847.079570779751,-6623.157832970343,BW,1
-6796.814578951901,-5896.814578951901,EXPO,1
-6623.157832970343,-6273.75933252657,BW,2
-6273.75933252657,-5947.079570779751,BW,3
-5947.079570779751,-5697.356146532356,BW,0
-5896.814578951901,-4755.330940561123,EXPO,0
-5697.356146532356,-5312.762971047229,BW,1
-5312.762971047229,-4797.356146532356,BW,2
-4797.356146532356,9391.172641669054,BW,0
-4755.330940561123,-3855.3309405611226,EXPO,1
-4566.181744557622,-3666.1817445576216,JUG,1
-3855.3309405611226,21611.710614597956,EXPO,0
-3666.1817445576216,8418.268381141666,JUG,0
6095.428099285272,6277.665323532941,LYBE,1
6277.665323532941,6976.813593248996,LYBE,2
6976.813593248996,6995.428099285272,LYBE,3
6995.428099285272,7177.665323532941,LYBE,2
7177.665323532941,7876.813593248996,LYBE,1
7589.9329442891485,8489.932944289149,LYBV,1
7876.813593248996,8831.77902909776,LYBE,0
8089.2097747251555,8989.209774725156,DOR,1
8418.268381141666,9318.268381141666,JUG,1
8489.932944289149,9095.093146521776,LYBV,0
8831.77902909776,9731.77902909776,LYBE,1
8989.209774725156,9447.26296300275,DOR,0
9095.093146521776,9698.944929701136,LYBV,1
9318.268381141666,10177.39325766277,JUG,0
9391.172641669054,10261.937961304033,BW,1
9447.26296300275,10705.193471662771,DOR,1
9698.944929701136,9995.093146521776,LYBV,2
9731.77902909776,20277.80321043103,LYBE,0
9995.093146521776,10770.76882854983,LYBV,0
10177.39325766277,11255.19556966277,JUG,1
10261.937961304033,10441.906515141665,BW,2
10441.906515141665,10920.566175545653,BW,0
10705.193471662771,12192.99541038633,DOR,0
10770.76882854983,12402.376769046867,LYBV,1
10920.566175545653,11115.937362751993,BW,1
11115.937362751993,11820.566175545653,BW,2
11255.19556966277,12494.406691386523,JUG,0
11820.566175545653,13909.071346268516,BW,0
12192.99541038633,13009.984685464926,DOR,1
12402.376769046867,13440.641101028112,LYBV,0
12494.406691386523,13394.406691386523,JUG,1
13009.984685464926,13092.99541038633,DOR,2
13092.99541038633,14973.006634478768,DOR,0
13394.406691386523,15653.48940284651,JUG,0
13440.641101028112,14083.208330879826,LYBV,1
13909.071346268516,14809.071346268516,BW,1
14083.208330879826,14163.040714364806,LYBV,2
14163.040714364806,14340.641101028112,LYBV,3
14340.641101028112,14913.918401359026,LYBV,0
14809.071346268516,15003.522600469383,BW,0
14913.918401359026,15813.918401359026,LYBV,1
14973.006634478768,16060.80684847877,DOR,1
15003.522600469383,15471.77209070688,BW,1
15471.77209070688,15903.522600469383,BW,2
15653.48940284651,15937.161488559683,JUG,1
15813.918401359026,21611.710614597956,LYBV,0
15903.522600469383,20665.689133786494,BW,0
15937.161488559683,16210.489996684802,JUG,2
16060.80684847877,21611.710614597956,DOR,0
16210.489996684802,16553.48940284651,JUG,3
16553.48940284651,16641.53511457393,JUG,0
16641.53511457393,17541.53511457393,JUG,1
17541.53511457393,17620.824249839374,JUG,0
17620.824249839374,18520.824249839374,JUG,1
18520.824249839374,21611.710614597956,JUG,0
20277.80321043103,20554.437456960703,LYBE,1
20554.437456960703,20562.003095445805,LYBE,2
20562.003095445805,20650.408268370757,LYBE,3
20650.408268370757,20666.09528792066,LYBE,4
20665.689133786494,21611.710614597956,BW,1
20666.09528792066,21175.664614224595,LYBE,5
21175.664614224595,21177.80321043103,LYBE,6
21177.80321043103,21335.821643243427,LYBE,4
21335.821643243427,21454.437456960703,LYBE,5
21454.437456960703,21462.003095445805,LYBE,4
