stage,scope,causes,label,exposed_passengers,late_passengers_exposed,late_passengers_blocked_after_limit,fraction_of_late_passengers_exposed,observed_passenger_minutes,overdue_passenger_minutes,extra_after_boarding_passenger_minutes
after_boarding,committed_flight,battery_after_repositioning,Батерија после позиционог лета,39,14,0,0.28,115.40678260464477,0.0,115.40678260464477
after_boarding,committed_flight,battery_at_origin,Батерија летелице на полазишту,3,3,0,0.06,7.290140041118622,0.0,7.290140041118622
after_boarding,committed_flight,destination_tlof,Одредишни TLOF/FATO,3,2,0,0.04,3.5727148737498586,0.0,3.5727148737498586
after_boarding,committed_flight,origin_tlof,Полазни TLOF/FATO,15,3,0,0.06,10.843830963654908,0.0,10.843830963654908
before_boarding,candidate_set,destination_stand,Одредишна паркинг позиција,1,0,0,0.0,0.5522459305648226,0.0,0.0
before_boarding,candidate_set,group_formation,Правило формирања групе,10,9,0,0.18,75.06968448169015,0.0,0.0
before_boarding,candidate_set,priority_other_group,Преддодела другој групи по редоследу диспечера,10,9,2,0.18,117.5810504375952,42.51136595590506,0.0
before_boarding,selected_plan,aircraft_busy,Летелица завршава претходни задатак,115,42,20,0.84,1020.2283196069718,202.6107477906315,0.0
before_boarding,selected_plan,battery_before_repositioning,Батерија пре позиционог лета,22,8,3,0.16,48.095390027824365,4.3062085283088285,0.0
before_boarding,selected_plan,cleaning,Чишћење,30,17,16,0.34,256.82742270099897,67.48416529100423,0.0
before_boarding,selected_plan,cleaning_crew,Чекање екипе за чишћење,2,2,0,0.04,4.004482096277934,0.0,0.0
before_boarding,selected_plan,departure_preparation,Обавезна завршна припрема,123,27,8,0.54,121.85607875513294,7.808071665432726,0.0
before_boarding,selected_plan,destination_tlof,Одредишни TLOF/FATO,8,6,3,0.12,8.948220757337124,3.371890719077358,0.0
before_boarding,selected_plan,group_formation,Правило формирања групе,231,50,0,1.0,2876.1596554502444,0.0,0.0
before_boarding,selected_plan,origin_tlof,Полазни TLOF/FATO,8,4,1,0.08,5.8644787951205215,0.9783092032580801,0.0
before_boarding,selected_plan,repositioning_flight,Долазак летелице позиционим летом,137,29,21,0.58,728.9376454441212,80.88746611816119,0.0
departure_preparation,committed_flight,departure_preparation,Обавезна завршна припрема,237,50,0,1.0,237.0,0.0,0.0
