flight_id,aircraft_id,operation,origin,destination,passenger_count,passenger_ids,takeoff_start_s,landing_end_s,duration_min,distance_km,departure_energy_kwh,landing_energy_kwh,planned_energy_kwh,departure_soc,landing_soc,boarding_end_s,energy_ready_s,required_departure_energy_kwh,energy_context
F000001,EVTOL_004,passenger,BW,LYBE,1,SYN2-192-D:P0001,-9321.269339413662,-8996.433517413661,5.4139303666666665,13.490879,142.0,110.90133285277777,31.098667147222223,1.0,0.7809953017801251,-9381.269339413662,-9576.269339413662,64.20853386194445,battery_at_origin
F000002,EVTOL_001,repositioning,LYBE,BW,0,,-8934.300230493682,-8609.46440849368,5.4139303666666665,13.490879,142.0,110.90133285277777,31.098667147222223,1.0,0.7809953017801251,,-8994.300230493682,64.20853386194445,battery_at_origin
F000003,EVTOL_001,passenger,BW,LYBE,1,SYN2-343-D:P0001,-7839.300230493682,-7514.464408493682,5.4139303666666665,13.490879,119.80361864620757,88.70495149898535,31.098667147222223,0.8436874552549829,0.6246827570351081,-7899.300230493682,-8094.300230493682,64.20853386194445,battery_after_repositioning
F000004,EVTOL_002,repositioning,LYBE,LYBV,0,,-7807.877857624137,-7371.429669624136,7.274136466666667,19.691566,142.0,104.23559432777778,37.764405672222225,1.0,0.7340534811815337,,-7867.877857624137,71.54084623944445,battery_at_origin
F000005,EVTOL_002,passenger,LYBV,LYBE,1,SYN2-193-D:P0001,-6712.877857624137,-6276.429669624136,7.274136466666667,19.691566,114.51992577854519,76.75552010632298,37.764405672222225,0.8064783505531351,0.5405318317346689,-6772.877857624137,-6967.877857624137,71.54084623944445,battery_after_repositioning
F000006,EVTOL_001,repositioning,LYBE,BW,0,,-6787.079570779751,-6462.243748779751,5.4139303666666665,13.490879,108.8148036757327,77.71613652851049,31.098667147222223,0.7663014343361458,0.547296736116271,,-6847.079570779751,64.20853386194445,battery_at_origin
F000007,EVTOL_003,repositioning,LYBE,EXPO,0,,-6736.814578951901,-6536.052180951901,3.3460399666666665,6.597911,142.0,118.31127345277777,23.688726547222224,1.0,0.8331779820618153,,-6796.814578951901,56.05759920194445,battery_at_origin
F000008,EVTOL_001,passenger,BW,LYBE,3,SYN2-190-D:P0001|SYN2-342-D:P0002|SYN2-342-D:P0001,-5542.079570779751,-5217.243748779751,5.4139303666666665,13.490879,108.82316864505549,77.72450149783327,31.098667147222223,0.7663603425708133,0.5473556443509385,-5602.079570779751,-5947.079570779751,64.20853386194445,battery_after_repositioning
F000009,EVTOL_003,passenger,EXPO,LYBE,1,SYN2-197-D:P0003,-5641.814578951901,-5441.052180951901,3.3460399666666665,6.597911,126.9731227664429,103.28439621922068,23.688726547222224,0.894176920890443,0.7273549029522584,-5701.814578951901,-5896.814578951901,56.05759920194445,battery_after_repositioning
F000010,EVTOL_002,repositioning,LYBE,BW,0,,-5637.356146532356,-5312.520324532356,5.4139303666666665,13.490879,101.18597411146924,70.08730696424702,31.098667147222223,0.7125772824751354,0.4935725842552607,,-5697.356146532356,64.20853386194445,battery_at_origin
F000011,EVTOL_002,passenger,BW,LYBE,2,SYN2-197-D:P0002|SYN2-197-D:P0001,-4467.356146532356,-4142.520324532356,5.4139303666666665,13.490879,104.48225169573152,73.3835845485093,31.098667147222223,0.7357905048995177,0.516785806679643,-4527.356146532356,-4797.356146532356,64.20853386194445,battery_after_repositioning
F000012,EVTOL_001,repositioning,LYBE,EXPO,0,,-4695.330940561123,-4494.568542561123,3.3460399666666665,6.597911,97.68638347260224,73.99765692538003,23.688726547222224,0.6879322779760721,0.5211102600378875,,-4755.330940561123,56.05759920194445,battery_at_origin
F000013,EVTOL_003,repositioning,LYBE,JUG,0,,-4506.181744557622,-4088.379432557622,6.963371866666667,18.655684,117.70581088126784,81.05497835904562,36.650832522222224,0.8289141611356889,0.5708097067538423,,-4566.181744557622,70.31591577444445,battery_at_origin
F000014,EVTOL_001,passenger,EXPO,LYBE,1,SYN2-194-D:P0001,-3600.3309405611226,-3399.5685425611227,3.3460399666666665,6.597911,107.05065138502826,83.36192483780604,23.688726547222224,0.7538778266551286,0.587055808716944,-3660.3309405611226,-3855.3309405611226,56.05759920194445,battery_after_repositioning
F000015,EVTOL_003,passenger,JUG,LYBE,1,SYN2-195-D:P0001,-3411.1817445576216,-2993.379432557622,6.963371866666667,18.655684,104.29514174148552,67.6443092192633,36.650832522222224,0.734472829165391,0.47636837478354443,-3471.1817445576216,-3666.1817445576216,70.31591577444445,battery_after_repositioning
F000016,EVTOL_001,passenger,LYBE,EXPO,1,SYN2-002-A:P0001,7250.428099285272,7451.190497285272,3.3460399666666665,6.597911,142.0,118.31127345277777,23.688726547222224,1.0,0.8331779820618153,7190.428099285272,6995.428099285272,56.05759920194445,battery_at_origin
F000017,EVTOL_002,passenger,LYBE,BW,1,SYN2-003-A:P0002,7432.665323532941,7757.501145532941,5.4139303666666665,13.490879,142.0,110.90133285277777,31.098667147222223,1.0,0.7809953017801251,7372.665323532941,7177.665323532941,64.20853386194445,battery_at_origin
F000018,EVTOL_003,passenger,LYBE,LYBV,1,SYN2-003-A:P0001,8131.813593248996,8568.261781248995,7.274136466666667,19.691566,142.0,104.23559432777778,37.764405672222225,1.0,0.7340534811815337,8071.813593248996,7876.813593248996,71.54084623944445,battery_at_origin
F000019,EVTOL_002,repositioning,BW,LYBV,0,,7943.501145532941,8137.113511532942,3.226872766666667,6.200687,112.01972745369967,88.75801670647745,23.261710747222224,0.7888713200964765,0.6250564556794187,,7883.501145532941,55.58788182194445,battery_at_origin
F000020,EVTOL_001,repositioning,EXPO,DOR,0,,8149.2097747251555,8571.197806725155,7.033133866666666,18.888224,124.96045189089673,88.05963886867453,36.90081302222222,0.8800031823302586,0.6201383018920741,,8089.2097747251555,70.59089432444445,battery_at_origin
F000021,EVTOL_002,passenger,LYBV,LYBE,1,SYN2-345-D:P0003,8744.932944289149,9181.381132289149,7.274136466666667,19.691566,106.13425887771484,68.36985320549262,37.764405672222225,0.7474243582937665,0.48147783947530015,8684.932944289149,8489.932944289149,71.54084623944445,battery_after_repositioning
F000022,EVTOL_003,repositioning,LYBV,JUG,0,,8784.932944289149,9071.511800289149,4.776314266666666,11.365492,106.70192224171775,77.88804611949554,28.81387612222222,0.7514219876177306,0.548507367038701,,8724.932944289149,61.69526373444444,battery_at_origin
F000023,EVTOL_001,passenger,DOR,LYBE,1,SYN2-201-D:P0001,9244.209774725156,9672.009988725156,7.130003566666668,19.211123,107.34930314697935,70.10137369975713,37.247929447222226,0.7559810080773194,0.49367164577293754,9184.209774725156,8989.209774725156,70.97272239194444,battery_after_repositioning
F000024,EVTOL_004,repositioning,LYBE,LYBV,0,,9181.381132289149,9617.82932028915,7.274136466666667,19.691566,142.0,104.23559432777778,37.764405672222225,1.0,0.7340534811815337,,9121.381132289149,71.54084623944445,battery_at_origin
F000025,EVTOL_003,passenger,JUG,LYBE,1,SYN2-345-D:P0001,9573.268381141666,9991.070693141666,6.963371866666667,18.655684,97.03007337661936,60.37924085439714,36.650832522222224,0.6833103758916856,0.425205921509839,9513.268381141666,9318.268381141666,70.31591577444445,battery_after_repositioning
F000026,EVTOL_002,passenger,LYBE,BW,1,SYN2-006-A:P0001,9991.070693141666,10315.906515141665,5.4139303666666665,13.490879,102.84019349575463,71.74152634853242,31.098667147222223,0.7242267147588355,0.5052220165389607,9926.77902909776,9731.77902909776,64.20853386194445,battery_at_origin
F000027,EVTOL_004,passenger,LYBV,LYBE,2,SYN2-220-D:P0002|SYN2-344-D:P0001,10325.093146521776,10761.541334521777,7.274136466666667,19.691566,115.178613964313,77.41420829209078,37.764405672222225,0.8111169997486831,0.5451704809302167,10265.093146521776,9995.093146521776,71.54084623944445,battery_after_repositioning
F000028,EVTOL_001,repositioning,LYBE,JUG,0,,10237.39325766277,10655.19556966277,6.963371866666667,18.655684,95.20568854961249,58.55485602739027,36.650832522222224,0.6704625954198062,0.41235814103795965,,10177.39325766277,70.31591577444445,battery_at_origin
F000029,EVTOL_003,repositioning,LYBE,DOR,0,,10277.39325766277,10705.193471662771,7.130003566666668,19.211123,72.82096513638928,35.57303568916706,37.247929447222226,0.5128236981435864,0.2505143358392046,,10217.39325766277,70.97272239194444,battery_at_origin
F000030,EVTOL_002,passenger,BW,LYBE,2,SYN2-345-D:P0002|SYN2-203-D:P0001,10771.906515141665,11096.742337141666,5.4139303666666665,13.490879,91.45336201741543,60.354694870193214,31.098667147222223,0.6440377606860241,0.4250330624661494,10711.906515141665,10441.906515141665,64.20853386194445,battery_at_origin
F000031,EVTOL_003,passenger,DOR,LYBE,1,SYN2-206-D:P0001,11297.18929436647,11724.98950836647,7.130003566666668,19.211123,70.97272239194446,33.72479294472224,37.247929447222226,0.4998079041686229,0.23749854186424113,10900.193471662771,11237.18929436647,70.97272239194444,battery_after_repositioning
F000032,EVTOL_004,repositioning,LYBE,BW,0,,11096.742337141666,11421.578159141667,5.4139303666666665,13.490879,89.59703376708036,58.498366619858146,31.098667147222223,0.630965026528735,0.4119603283088602,,11036.742337141666,64.20853386194445,battery_at_origin
F000033,EVTOL_001,passenger,JUG,LYBE,1,SYN2-220-D:P0001,11510.19556966277,11927.99788166277,6.963371866666667,18.655684,100.17087037659675,63.520037854374536,36.650832522222224,0.7054286646239208,0.4473242102420742,11450.19556966277,11255.19556966277,70.31591577444445,battery_after_repositioning
F000034,EVTOL_002,repositioning,LYBE,LYBV,0,,11365.928581046866,11802.376769046867,7.274136466666667,19.691566,71.54084623944442,33.7764405672222,37.764405672222225,0.5038087763341156,0.23786225751564932,,11305.928581046866,71.54084623944445,battery_at_origin
F000035,EVTOL_004,passenger,BW,LYBE,2,SYN2-348-D:P0001|SYN2-210-D:P0001,12150.566175545653,12475.401997545654,5.4139303666666665,13.490879,95.56178753762214,64.46312039039992,31.098667147222223,0.6729703347719869,0.45396563655211214,12090.566175545653,11820.566175545653,64.20853386194445,battery_after_repositioning
F000036,EVTOL_001,repositioning,LYBE,DOR,0,,12252.99541038633,12680.79562438633,7.130003566666668,19.211123,78.32767333869332,41.0797438914711,37.247929447222226,0.5516033333710797,0.28929397106669785,,12192.99541038633,70.97272239194444,battery_at_origin
F000037,EVTOL_002,passenger,LYBV,LYBE,1,SYN2-200-D:P0001,12657.376769046867,13093.824957046867,7.274136466666667,19.691566,86.1584785297117,48.39407285748948,37.764405672222225,0.6067498488007866,0.3408033299823203,12597.376769046867,12402.376769046867,71.54084623944445,battery_after_repositioning
F000038,EVTOL_004,repositioning,LYBE,JUG,0,,12727.401997545654,13145.204309545654,6.963371866666667,18.655684,74.25723362730471,37.6064011050825,36.650832522222224,0.5229382649810191,0.2648338105991725,,12667.401997545654,70.31591577444445,battery_at_origin
F000039,EVTOL_001,passenger,DOR,LYBE,2,SYN2-351-D:P0002|SYN2-202-D:P0001,13422.99541038633,13850.79562438633,7.130003566666668,19.211123,85.32798736419173,48.08005791696951,37.247929447222226,0.6009013194661389,0.3385919571617571,13362.99541038633,13139.368671059308,70.97272239194444,battery_after_repositioning
F000040,EVTOL_004,passenger,JUG,LYBE,1,SYN2-226-D:P0001,13701.331171803813,14119.133483803813,6.963371866666667,18.655684,70.31591577444443,33.66508325222222,36.650832522222224,0.495182505453834,0.23707805107198746,13589.406691386523,13641.331171803813,70.31591577444445,battery_after_repositioning
F000041,EVTOL_002,repositioning,LYBE,LYBV,0,,13522.486161121451,13958.934349121451,7.274136466666667,19.691566,71.54084623944448,33.77644056722226,37.764405672222225,0.503808776334116,0.2378622575156497,,13462.486161121451,71.54084623944445,battery_at_origin
F000042,EVTOL_001,repositioning,LYBE,BW,0,,14185.841970319329,14510.67779231933,5.4139303666666665,13.490879,64.2085338619444,33.10986671472219,31.098667147222223,0.45217277367566483,0.23316807545579005,,14125.841970319329,64.20853386194445,battery_at_origin
F000043,EVTOL_002,passenger,LYBV,LYBE,3,SYN2-217-D:P0001|SYN2-214-D:P0002|SYN2-349-D:P0001,14745.641101028112,15182.089289028112,7.274136466666667,19.691566,82.33742838852942,44.5730227163072,37.764405672222225,0.5798410449896438,0.31389452617117747,14685.641101028112,14522.497317066265,71.54084623944445,battery_after_repositioning
