start_s,end_s,vertiport,waiting_passengers
77349.33931912016,77557.35677652789,LYBE,0
77557.35677652789,77571.84189163242,LYBE,1
77571.84189163242,78457.35677652789,LYBE,2
77872.83616863024,79545.3278624677,EXPO,1
77927.86833325229,78827.86833325229,JUG,1
78135.63257846772,89041.63539248033,BW,0
78457.35677652789,78675.15908852789,LYBE,1
78675.15908852789,78853.83148174085,LYBE,0
78827.86833325229,89041.63539248033,JUG,0
78853.83148174085,79753.83148174085,LYBE,1
79545.3278624677,89041.63539248033,EXPO,0
79753.83148174085,81114.77450926461,LYBE,0
81114.77450926461,81154.41744318343,LYBE,1
81154.41744318343,81236.40657877366,LYBE,2
81236.40657877366,81971.0833791639,LYBE,3
81971.0833791639,81990.48439841223,LYBE,4
81990.48439841223,82014.77450926461,LYBE,5
82014.77450926461,82054.41744318343,LYBE,4
82054.41744318343,82144.20553339411,LYBE,2
82144.20553339411,82496.86345312359,LYBE,3
82496.86345312359,82565.73870376422,LYBE,4
82565.73870376422,82692.0834319129,LYBE,5
82692.0834319129,82871.0833791639,LYBE,6
82871.0833791639,82890.48439841223,LYBE,5
82890.48439841223,82907.35978199657,LYBE,4
82907.35978199657,83162.36698048236,LYBE,5
83162.36698048236,83206.4750072857,LYBE,6
83206.4750072857,83291.3791332646,LYBE,7
83291.3791332646,83493.37256424905,LYBE,5
83493.37256424905,83520.2998886398,LYBE,6
83520.2998886398,83600.34489702026,LYBE,7
83600.34489702026,83721.3791332646,LYBE,8
83721.3791332646,83913.65422747734,LYBE,6
83913.65422747734,83940.80344236956,LYBE,7
83940.80344236956,84010.55733516389,LYBE,8
84010.55733516389,84193.10147506387,LYBE,4
84193.10147506387,84207.6838071639,LYBE,5
84207.6838071639,84314.36507870296,LYBE,2
84314.36507870296,84380.03206250377,LYBE,3
84380.03206250377,84442.04792788079,LYBE,4
84442.04792788079,84927.57120678067,LYBE,5
84927.57120678067,84935.92826257873,LYBE,6
84935.92826257873,85008.85022016268,LYBE,7
85008.85022016268,85068.85022016268,LYBE,6
85068.85022016268,85402.0288440427,LYBE,2
85402.0288440427,85458.14957175628,LYBE,3
85458.14957175628,85581.20504766508,LYBE,4
85581.20504766508,85747.45371116388,LYBE,5
85747.45371116388,86729.29169387063,LYBE,3
86729.29169387063,86851.02884909864,LYBE,1
86851.02884909864,86962.99696788916,LYBE,2
86962.99696788916,87328.23447252683,LYBE,1
87328.23447252683,87342.83308048033,LYBE,2
87342.83308048033,87562.37136582255,LYBE,3
87562.37136582255,87751.02884909864,LYBE,4
87751.02884909864,88242.83308048033,LYBE,1
88242.83308048033,89041.63539248033,LYBE,0
