vertiport,peak_queue,mean_queue,queue_nonempty_min,waiting_passenger_min
LYBE,10,1.0908588155164762,767.101812422041,1775.0331230661386
EXPO,2,0.04784112961943216,72.87486156395777,77.84654486124927
BW,5,0.4550971232818009,464.50014226512263,740.528890216508
JUG,3,0.22141191863004078,298.0697572708064,360.27896902851865
DOR,3,0.19010526167871894,244.86487768622467,309.3371310283785
LYBV,3,0.30375922105106096,350.1423312031433,494.27356788341274
