request_hour_local,origin,destination,generated_passengers,boarded_passengers,completed_journeys,on_time_passengers,fraction_boarding_within_wait_limit,wait_to_boarding_min_mean,wait_to_boarding_min_p95,wait_to_boarding_min_max,extra_after_boarding_min_mean,extra_after_boarding_min_p95,extra_after_boarding_min_max,journey_duration_min_mean,journey_duration_min_p95,journey_duration_min_max
2026-07-30T21:00:00+02:00,BW,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,38.218370207947174,38.218370207947174,38.218370207947174
2026-07-30T21:00:00+02:00,LYBV,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,39.62198929649476,39.62198929649476,39.62198929649476
2026-07-30T22:00:00+02:00,JUG,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,37.723052267346816,37.723052267346816,37.723052267346816
2026-07-31T00:00:00+02:00,LYBE,BW,1,1,1,1,1.0,15.0,15.0,15.0,7.579122514774402e-15,7.579122514774402e-15,7.579122514774402e-15,26.763930366666674,26.763930366666674,26.763930366666674
2026-07-31T01:00:00+02:00,BW,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,36.43015991877884,36.43015991877884,36.43015991877884
2026-07-31T01:00:00+02:00,LYBE,BW,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,26.763930366666667,26.763930366666667,26.763930366666667
2026-07-31T01:00:00+02:00,LYBE,DOR,2,2,2,2,1.0,15.0,15.0,15.0,0.0,0.0,0.0,28.480003566666664,28.480003566666664,28.480003566666664
2026-07-31T01:00:00+02:00,LYBE,LYBV,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,28.624136466666673,28.624136466666673,28.624136466666673
2026-07-31T02:00:00+02:00,BW,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.859232359474845,0.859232359474845,0.859232359474845,38.410450479772074,38.410450479772074,38.410450479772074
2026-07-31T02:00:00+02:00,DOR,LYBE,5,5,5,5,1.0,9.059940513134977,15.0,15.0,0.0,0.0,0.0,37.898095638418376,44.35137919791065,44.53452850151692
2026-07-31T02:00:00+02:00,EXPO,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,34.64897153359322,34.64897153359322,34.64897153359322
2026-07-31T02:00:00+02:00,JUG,LYBE,1,1,1,1,1.0,15.0,15.0,15.0,0.0,0.0,0.0,38.2073163009922,38.2073163009922,38.2073163009922
2026-07-31T02:00:00+02:00,LYBE,BW,2,2,2,2,1.0,10.47562236726247,14.547562236726247,15.0,1.4184863713823082,1.4184863713823082,1.4184863713823082,26.00803910531143,30.079978974775205,30.53241673804896
2026-07-31T02:00:00+02:00,LYBE,JUG,1,1,1,1,1.0,15.000000000000016,15.000000000000016,15.000000000000016,0.0,0.0,0.0,28.313371866666678,28.313371866666678,28.313371866666678
2026-07-31T02:00:00+02:00,LYBV,LYBE,2,2,2,2,1.0,10.463350846092862,14.546335084609286,15.0,0.0,0.0,0.0,37.07022505656811,41.26941595216055,41.735992718337485
2026-07-31T03:00:00+02:00,BW,LYBE,4,4,4,4,1.0,10.106261389702983,15.0,15.0,0.791365031781144,0.8753381065524732,0.8963313752453056,36.917438123479464,42.51980976429037,43.23408220250033
2026-07-31T03:00:00+02:00,DOR,LYBE,3,3,3,2,0.6666666666666666,7.408346634268674,14.831433552562869,15.983279627789035,0.2916037604726322,0.43740564070894833,0.43740564070894833,33.92439473134199,40.72120608288877,41.90247768075096
