vertiport,resource_kind,capacity,busy_unit_minutes,observed_minutes,utilization,fully_occupied_minutes,peak_occupied_units
LYBE,stand,6,2816.599009458159,1627.1886863981883,0.28849338258498175,0.0,4
LYBE,movement,1,185.33333333333334,1627.1886863981883,0.11389787483317133,185.33333333333334,1
LYBE,charger,6,1795.64608528848,1627.1886863981883,0.18392110887307678,0.0,4
LYBE,cleaner,1,80.0,1627.1886863981883,0.04916455028769986,80.0,1
EXPO,stand,2,62.53652166208913,1627.1886863981883,0.019216124775460076,0.0,1
EXPO,movement,1,11.666666666666666,1627.1886863981883,0.007169830250289563,11.666666666666666,1
EXPO,charger,2,48.53652166208913,1627.1886863981883,0.01491422662528634,0.0,1
EXPO,cleaner,1,10.0,1627.1886863981883,0.006145568785962482,10.0,1
BW,stand,4,639.0615084853893,1627.1886863981883,0.09818491147144766,0.0,2
BW,movement,1,66.0,1627.1886863981883,0.04056075398735238,66.0,1
BW,charger,4,539.8361286958154,1627.1886863981883,0.08294000155119571,0.0,2
BW,cleaner,1,40.0,1627.1886863981883,0.02458227514384993,40.0,1
JUG,stand,2,582.6146454432684,1627.1886863981883,0.17902491896403744,105.4510768980888,2
JUG,movement,1,48.666666666666664,1627.1886863981883,0.029908434758350744,48.666666666666664,1
JUG,charger,2,470.9642652160052,1627.1886863981883,0.14471716438076185,53.474909678875854,2
JUG,cleaner,1,20.0,1627.1886863981883,0.012291137571924965,20.0,1
DOR,stand,2,460.2778926364418,1627.1886863981883,0.14143347249275537,5.032074025090181,2
DOR,movement,1,45.0,1627.1886863981883,0.02765505953683117,45.0,1
DOR,charger,2,390.1073307018426,1627.1886863981883,0.11987157173681938,0.5732506230641775,2
DOR,cleaner,1,50.0,1627.1886863981883,0.03072784392981241,50.0,1
LYBV,stand,2,456.15118840740564,1627.1886863981883,0.14016542525781217,4.421773866396204,2
LYBV,movement,1,48.333333333333336,1627.1886863981883,0.02970358246548533,48.333333333333336,1
LYBV,charger,2,367.1412825859352,1627.1886863981883,0.11281460031491772,2.421773866396203,2
LYBV,cleaner,1,20.0,1627.1886863981883,0.012291137571924965,20.0,1
