scenario,fleet_size,aircraft_id,activity,metric,n,mean,std,ci_low,ci_high,confidence
low,4,EVTOL_001,boarding,fraction_of_observed_time,2,0.10759642562616108,0.0071009393633247354,0.04379701670367574,0.17139583454864643,0.95
low,4,EVTOL_001,boarding,minutes,2,176.75,9.192388155425117,94.15966921486473,259.3403307851353,0.95
low,4,EVTOL_001,charging_overlay,fraction_of_observed_time,2,0.5632016538393037,0.041145191733281794,0.1935267730561171,0.9328765346224902,0.95
low,4,EVTOL_001,charging_overlay,minutes,2,925.1326493344772,54.65116494855003,434.11141365809965,1416.1538850108545,0.95
low,4,EVTOL_001,cleaning,fraction_of_observed_time,2,0.042596924605403715,0.0005968785868881533,0.03723418327027382,0.04795966594053361,0.95
low,4,EVTOL_001,cleaning,minutes,2,70.0,0.0,70.0,70.0,0.95
low,4,EVTOL_001,cruise,fraction_of_observed_time,2,0.19314638177476404,0.007636527398069981,0.12453490528003804,0.26175785826949005,0.95
low,4,EVTOL_001,cruise,minutes,2,317.34283035,8.102504603882112,244.5447147669709,390.14094593302906,0.95
low,4,EVTOL_001,departure_finalization,fraction_of_observed_time,2,0.0456516208456849,0.0023606884428757167,0.02444167669611318,0.06686156499525663,0.95
low,4,EVTOL_001,departure_finalization,minutes,2,74.99999999999994,2.8284271247460997,49.58759052765144,100.41240947234844,0.95
low,4,EVTOL_001,disembarking,fraction_of_observed_time,2,0.07432653047549131,0.004655595701812773,0.03249766266515582,0.1161553982858268,0.95
low,4,EVTOL_001,disembarking,minutes,2,122.09999999999994,5.939696961966913,68.73394010806715,175.46605989193273,0.95
low,4,EVTOL_001,idle,fraction_of_observed_time,2,0.4455952078443909,0.028729518488192846,0.18747072537928183,0.7037196903095,0.95
low,4,EVTOL_001,idle,minutes,2,732.6542569241096,57.47766897268821,216.2378901488222,1249.070623699397,0.95
low,4,EVTOL_001,landing,fraction_of_observed_time,2,0.04565162084568494,0.0023606884428757705,0.02444167669611274,0.06686156499525714,0.95
low,4,EVTOL_001,landing,minutes,2,75.0,2.8284271247461903,49.58759052765068,100.41240947234931,0.95
