scenario,fleet_size,vertiport,metric,n,mean,std,ci_low,ci_high,confidence
low,4,BW,mean_queue,2,0.40642572639523245,0.0688317495766288,-0.21200300724112064,1.0248544600315856,0.95
low,4,BW,peak_queue,2,4.0,1.4142135623730951,-8.706204736174659,16.70620473617466,0.95
low,4,BW,queue_nonempty_min,2,437.6268475491239,38.00457785301463,96.16926295208344,779.0844321461643,0.95
low,4,BW,waiting_passenger_min,2,667.1569361334341,103.76361256209915,-265.1221343393096,1599.4360066061777,0.95
low,4,DOR,mean_queue,2,0.18087561629636606,0.013052689675617674,0.06360185242590115,0.29814938016683096,0.95
low,4,DOR,peak_queue,2,2.5,0.7071067811865476,-3.8531023680873293,8.85310236808733,0.95
low,4,DOR,queue_nonempty_min,2,255.8954668138815,15.599608745297529,115.73854299725133,396.0523906305117,0.95
low,4,DOR,waiting_passenger_min,2,297.1138014644723,17.286398446632106,141.8016734677441,452.42592946120055,0.95
low,4,EXPO,mean_queue,2,0.0905388778941083,0.060383734692839426,-0.4519874534575751,0.6330652092457917,0.95
low,4,EXPO,peak_queue,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,EXPO,queue_nonempty_min,2,147.00759185694957,104.8395125960958,-794.9380568974215,1088.9532406113206,0.95
low,4,EXPO,waiting_passenger_min,2,149.4934335055953,101.32400162266907,-760.8666023193728,1059.8534693305633,0.95
low,4,JUG,mean_queue,2,0.22456515222500947,0.004459345715335193,0.18449952058635327,0.2646307838636657,0.95
low,4,JUG,peak_queue,2,3.0,0.0,3.0,3.0,0.95
low,4,JUG,queue_nonempty_min,2,307.05490838312295,12.706922563009757,192.8877387645615,421.2220780016844,0.95
low,4,JUG,waiting_passenger_min,2,369.1179908294123,12.500264508935215,256.8075701597467,481.42841149907787,0.95
low,4,LYBE,mean_queue,2,1.0702636352039467,0.029125983317498567,0.8085770575745135,1.33195021283338,0.95
low,4,LYBE,peak_queue,2,10.0,0.0,10.0,10.0,0.95
low,4,LYBE,queue_nonempty_min,2,730.3000933126091,52.04549028320382,262.68991566497493,1197.9102709602432,0.95
low,4,LYBE,waiting_passenger_min,2,1758.6134473520783,23.220928084592376,1549.981686027632,1967.2452086765247,0.95
low,4,LYBV,mean_queue,2,0.23572125770577534,0.0962202105191464,-0.6287830343917702,1.1002255498033209,0.95
low,4,LYBV,peak_queue,2,3.0,0.0,3.0,3.0,0.95
low,4,LYBV,queue_nonempty_min,2,296.4955999292956,75.86793494446027,-385.1507510627571,978.1419509213483,0.95
low,4,LYBV,waiting_passenger_min,2,386.29348131659776,152.7069028890106,-985.7236060312161,1758.3105686644117,0.95
