scenario,fleet_size,metric,total_replications,completed_replications,failed_replications,zero_demand_replications,n,mean,std,ci_low,ci_high,confidence
low,4,battery_energy_added_kwh,2,2,0,0,2,8090.455202037932,153.3597205713782,6712.572780522598,9468.337623553267,0.95
low,4,boarded_within_limit,2,2,0,0,2,180.5,9.192388155425117,97.90966921486473,263.0903307851353,0.95
low,4,cleanings_completed,2,2,0,0,2,23.0,1.4142135623730951,10.293795263825341,35.706204736174655,0.95
low,4,completed_passenger_journeys,2,2,0,0,2,238.0,1.4142135623730951,225.29379526382533,250.70620473617467,0.95
low,4,energy_balance_residual_kwh,2,2,0,0,2,2.077626959362533e-11,1.2178893183518306e-11,-8.86467442757328e-11,1.3019928346298346e-10,0.95
low,4,event_count,2,2,0,0,2,4928.0,131.52186130069785,3746.3229595357566,6109.677040464243,0.95
low,4,extra_after_boarding_min_max,2,2,0,0,2,6.159080655064827,0.0069116480521714384,6.096981961096777,6.221179349032877,0.95
low,4,extra_after_boarding_min_mean,2,2,0,0,2,0.6885722810964104,0.15561219652092365,-0.7095478338902043,2.0866923960830253,0.95
low,4,extra_after_boarding_min_p95,2,2,0,0,2,4.768672790898199,0.1754237758931925,3.1925526974439675,6.34479288435243,0.95
low,4,flight_energy_kwh,2,2,0,0,2,8314.181801906929,179.31350031629228,6703.113921073067,9925.24968274079,0.95
low,4,flight_energy_per_completed_passenger_kwh,2,2,0,0,2,34.936392186958344,0.9610126889389667,26.302035747022856,43.57074862689383,0.95
low,4,fraction_boarding_within_wait_limit,2,2,0,0,2,0.7585315043341632,0.04313072981656201,0.3710172716533072,1.1460457370150192,0.95
low,4,generated_passengers,2,2,0,0,2,238.0,1.4142135623730951,225.29379526382533,250.70620473617467,0.95
low,4,journey_duration_min_max,2,2,0,0,2,137.05414651243748,19.156921600990763,-35.06396524473078,309.1722582696058,0.95
low,4,journey_duration_min_mean,2,2,0,0,2,35.70031248082189,1.1789339585364262,25.108011115491934,46.29261384615185,0.95
low,4,journey_duration_min_p95,2,2,0,0,2,50.309513496353034,5.9024421418939585,-2.7218251173719707,103.34085211007803,0.95
low,4,late_terminal_passengers,2,2,0,0,2,20.0,8.48528137423857,-56.237228417047945,96.23722841704794,0.95
low,4,max_wait_to_boarding_min,2,2,0,0,2,113.68415166085433,24.68675305276387,-108.11752448305566,335.4858278047643,0.95
low,4,mean_request_to_takeoff_min,2,2,0,0,2,21.413035929344133,1.0278175480194462,12.178461644358782,30.647610214329482,0.95
low,4,mean_terminal_target_lateness_min,2,2,0,0,2,3.362439279822409,2.003446564025896,-14.63781393354826,21.36269249319308,0.95
low,4,mean_wait_to_boarding_min,2,2,0,0,2,15.24079399798203,0.6789909171321462,9.140302646020304,21.341285349943753,0.95
low,4,minimum_soc,2,2,0,0,2,0.22583490844874876,1.1971954997463785e-15,0.225834908448738,0.22583490844875953,0.95
low,4,network_queue_peak,2,2,0,0,2,11.5,2.1213203435596424,-7.559307104261986,30.559307104261986,0.95
low,4,p95_wait_to_boarding_min,2,2,0,0,2,26.155509147786574,6.16199003792426,-29.20777479127561,81.51879308684876,0.95
low,4,passenger_flights,2,2,0,0,2,152.0,5.656854249492381,101.17518105530137,202.82481894469862,0.95
low,4,queue_passenger_minutes,2,2,0,0,2,3627.78909060159,183.15357585073,1982.2194999544909,5273.358681248689,0.95
low,4,queue_peak,2,2,0,0,2,10.0,0.0,10.0,10.0,0.95
low,4,repositioning_energy_fraction,2,2,0,0,2,0.3745853776193,8.247813070669107e-05,0.37384434101570696,0.37532641422289303,0.95
low,4,repositioning_flight_fraction,2,2,0,0,2,0.3907857510288066,0.00022733628510369743,0.38874321554523944,0.3928282865123737,0.95
low,4,repositioning_flights,2,2,0,0,2,97.5,3.5355339059327378,65.73448815956336,129.26551184043666,0.95
low,4,repositioning_time_fraction,2,2,0,0,2,0.3658233990158274,0.00021045497777543365,0.36393253606096043,0.36771426197069434,0.95
low,4,seat_load_factor_on_passenger_flights,2,2,0,0,2,0.39176195426195426,0.016905879383877977,0.2398686544012383,0.5436552541226702,0.95
low,4,terminal_passengers_observed,2,2,0,0,2,112.5,0.7071067811865476,106.14689763191267,118.85310236808733,0.95
low,4,total_boarding_exceedance_passenger_min,2,2,0,0,2,609.3160739816934,281.9345734110845,-1923.765567489811,3142.397715453198,0.95
low,4,total_extra_after_boarding_passenger_min,2,2,0,0,2,163.99023734034097,38.00949103058057,-177.51149040573932,505.49196508642126,0.95
low,4,unexplained_wait_passenger_min,2,2,0,0,2,0.0,0.0,0.0,0.0,0.95
low,4,unfinished_passengers,2,2,0,0,2,0.0,0.0,0.0,0.0,0.95
