scenario,fleet_size,vertiport,resource_kind,metric,n,mean,std,ci_low,ci_high,confidence
low,4,BW,charger,busy_unit_minutes,2,523.5275753952599,23.063777260330216,316.3077582075836,730.7473925829361,0.95
low,4,BW,charger,capacity,2,4.0,0.0,4.0,4.0,0.95
low,4,BW,charger,fully_occupied_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,BW,charger,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,BW,charger,peak_occupied_units,2,2.0,0.0,2.0,2.0,0.95
low,4,BW,charger,utilization,2,0.0796698135548265,0.004624744215975055,0.03811813534717834,0.12122149176247465,0.95
low,4,BW,cleaner,busy_unit_minutes,2,35.0,7.0710678118654755,-28.531023680873297,98.53102368087329,0.95
low,4,BW,cleaner,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,BW,cleaner,fully_occupied_minutes,2,35.0,7.0710678118654755,-28.531023680873297,98.53102368087329,0.95
low,4,BW,cleaner,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,BW,cleaner,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,BW,cleaner,utilization,2,0.021328609223868547,0.004601378471468801,-0.020013136098528943,0.06267035454626604,0.95
low,4,BW,movement,busy_unit_minutes,2,68.83333333333334,4.006938426723773,32.83241991417178,104.8342467524949,0.95
low,4,BW,movement,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,BW,movement,fully_occupied_minutes,2,68.83333333333334,4.006938426723773,32.83241991417178,104.8342467524949,0.95
low,4,BW,movement,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,BW,movement,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,BW,movement,utilization,2,0.041869892606652526,0.0018514015904406611,0.0252357092817918,0.05850407593151325,0.95
low,4,BW,stand,busy_unit_minutes,2,660.6541030996598,30.536540150325706,386.2941751455155,935.014031053804,0.95
low,4,BW,stand,capacity,2,4.0,0.0,4.0,4.0,0.95
low,4,BW,stand,fully_occupied_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,BW,stand,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,BW,stand,peak_occupied_units,2,2.0,0.0,2.0,2.0,0.95
low,4,BW,stand,utilization,2,0.10047399898757191,0.003237258610761855,0.07138838434867568,0.12955961362646815,0.95
low,4,DOR,charger,busy_unit_minutes,2,310.37565762011724,112.75761342287387,-702.7113045140313,1323.462619754266,0.95
low,4,DOR,charger,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,DOR,charger,fully_occupied_minutes,2,0.28662531153208876,0.4053494028880934,-3.3552945793644744,3.9285452024286522,0.95
low,4,DOR,charger,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,DOR,charger,peak_occupied_units,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,DOR,charger,utilization,2,0.09467642706769352,0.03563131529702997,-0.22545823945575905,0.4148110935911461,0.95
low,4,DOR,cleaner,busy_unit_minutes,2,40.0,14.142135623730951,-87.0620473617466,167.06204736174658,0.95
low,4,DOR,cleaner,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,DOR,cleaner,fully_occupied_minutes,2,40.0,14.142135623730951,-87.0620473617466,167.06204736174658,0.95
low,4,DOR,cleaner,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,DOR,cleaner,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,DOR,cleaner,utilization,2,0.024401393616849787,0.00894695183427125,-0.0559837793128895,0.10478656654658908,0.95
low,4,DOR,movement,busy_unit_minutes,2,41.66666666666665,4.71404520791034,-0.687349120582418,84.02068245391573,0.95
low,4,DOR,movement,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,DOR,movement,fully_occupied_minutes,2,41.66666666666665,4.71404520791034,-0.687349120582418,84.02068245391573,0.95
low,4,DOR,movement,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,DOR,movement,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,DOR,movement,utilization,2,0.02537541021256571,0.0032239109918308726,-0.003590280828233417,0.05434110125336483,0.95
low,4,DOR,stand,busy_unit_minutes,2,368.46093858741676,129.8487816719184,-798.1840778114355,1535.105954986269,0.95
low,4,DOR,stand,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,DOR,stand,fully_occupied_minutes,2,2.5160370125450906,3.5582136665739523,-29.453244392646077,34.48531841773626,0.95
low,4,DOR,stand,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,DOR,stand,peak_occupied_units,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,DOR,stand,utilization,2,0.1123861057121516,0.04107918005235556,-0.25669568364895845,0.4814678950732616,0.95
low,4,EXPO,charger,busy_unit_minutes,2,109.30997479243024,85.94664164917401,-662.8899632059985,881.509912790859,0.95
low,4,EXPO,charger,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,EXPO,charger,fully_occupied_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,EXPO,charger,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,EXPO,charger,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,EXPO,charger,utilization,2,0.03307584928460043,0.025684413079504507,-0.19768944656579324,0.2638411451349941,0.95
low,4,EXPO,cleaner,busy_unit_minutes,2,10.0,0.0,10.0,10.0,0.95
low,4,EXPO,cleaner,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,EXPO,cleaner,fully_occupied_minutes,2,10.0,0.0,10.0,10.0,0.95
low,4,EXPO,cleaner,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,EXPO,cleaner,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,EXPO,cleaner,utilization,2,0.006085274943629102,8.526836955545108e-05,0.0053191690386105404,0.006851380848647663,0.95
low,4,EXPO,movement,busy_unit_minutes,2,18.333333333333332,9.428090415820634,-66.3746982411644,103.04136490783105,0.95
low,4,EXPO,movement,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,EXPO,movement,fully_occupied_minutes,2,18.333333333333332,9.428090415820634,-66.3746982411644,103.04136490783105,0.95
low,4,EXPO,movement,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,EXPO,movement,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,EXPO,movement,utilization,2,0.011116141501764435,0.005580926893181306,-0.039026497212144934,0.0612587802156738,0.95
low,4,EXPO,stand,busy_unit_minutes,2,162.4560420179596,141.30754083308656,-1107.141840764102,1432.0539248000212,0.95
low,4,EXPO,stand,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,EXPO,stand,fully_occupied_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,EXPO,stand,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,EXPO,stand,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,EXPO,stand,utilization,2,0.049128257506334115,0.042302143787506234,-0.3309414250677827,0.42919794008045087,0.95
low,4,JUG,charger,busy_unit_minutes,2,386.868965208042,118.92871380309577,-681.6631340431684,1455.4010644592524,0.95
low,4,JUG,charger,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,JUG,charger,fully_occupied_minutes,2,33.55366061122988,28.172900610877313,-219.5698086426084,286.67712986506814,0.95
low,4,JUG,charger,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,JUG,charger,peak_occupied_units,2,2.0,0.0,2.0,2.0,0.95
low,4,JUG,charger,utilization,2,0.11796372246039376,0.037835080403945454,-0.22197098797716086,0.4578984328979484,0.95
low,4,JUG,cleaner,busy_unit_minutes,2,15.0,7.0710678118654755,-48.5310236808733,78.53102368087329,0.95
low,4,JUG,cleaner,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,JUG,cleaner,fully_occupied_minutes,2,15.0,7.0710678118654755,-48.5310236808733,78.53102368087329,0.95
low,4,JUG,cleaner,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
